exp_id,test_acc,test_loss,optimizer,lr,weight_decay,momentum,epochs_ran,best_val_acc,best_val_loss
E1,0.8308886054421769,0.5312150379224699,,,,,,,
E2,0.8056972789115646,0.5882353091321024,,,,,,,
E3,0.8427933673469388,0.4722784336428253,,,,,,,
E4,0.8491177721088435,0.4417377516221838,,,,,,,
O1,,,adam,0.1,0.0,,6.0,0.022687146892655368,3.867364180290093
O2,,,adam,1e-05,0.0,,6.0,0.6028425141242938,1.4423171396309373
O3,,,sgd,0.1,0.0,0.9,6.0,0.3150600282485876,2.4832969829861056
