exp_id,optimizer,lr,weight_decay,momentum,epochs_ran,best_val_acc,best_val_loss
O1,adam,0.1,0.0,,6,0.022687146892655368,3.867364180290093
O2,adam,1e-05,0.0,,6,0.6028425141242938,1.4423171396309373
O3,sgd,0.1,0.0,0.9,6,0.3150600282485876,2.4832969829861056
