query,before_retrieved_sources,after_retrieved_sources,changed
Как работает кэширование запросов?,"doc_09, doc_01, doc_10","doc_11, doc_09, doc_01",Да
Что ограничивает длину контекста в LLM?,"doc_07, doc_03, doc_03","doc_12, doc_07, doc_03",Да
